mu3,mu2,sigma,theta3,mu1,theta1,theta2
0.9883806754922562,-1.917386958616446,0.5108489528389288,0.2848524448401074,3.010628567817934,0.49038604818592413,0.22476150697396843
1.0434881807008016,-1.9530186855003526,0.5216950817460758,0.28287161624816465,2.9801515527971576,0.4896506202472026,0.22747776350463275
1.0572183229197005,-1.9271249946236102,0.497920176928231,0.31094280972090677,3.035502646290222,0.4838742779424828,0.20518291233661035
1.0216462277268388,-2.005502262893107,0.4886974421597113,0.2669878020573323,2.964021998191194,0.4971088796076479,0.23590331833501987
1.017757306029655,-1.9592760803927427,0.5023300994813359,0.32564818566675696,3.0148246671867462,0.47873480744284574,0.19561700689039735
1.0159014304891114,-1.953085168355438,0.49704693080959095,0.31145525755185116,3.0220721670738717,0.47082962130537154,0.21771512114277722
0.9894259895460388,-1.9482340505518636,0.4907172948961869,0.2965848209293584,3.029237303286018,0.47419124336941426,0.22922393570122737
0.9833624975685418,-1.988380382647059,0.4749380304698766,0.29522457309587324,2.9974717028689977,0.47312882047888866,0.23164660642523816
1.0051961841472954,-1.9952085385136837,0.5079107698975154,0.28838037826629626,2.981829988986254,0.5040097311281283,0.20760989060557553
1.0498771680556218,-1.9515800172793853,0.5017621227865667,0.2859955698037061,3.0229377000484052,0.48428741238808964,0.22971701780820436
1.0134704905741403,-1.9168208135310467,0.5027990285003028,0.29066576716516734,2.950681201235301,0.49476018186968895,0.2145740509651437
1.0165828872866995,-1.9820304513012514,0.5173667572439058,0.3173198036228713,3.0098648640175174,0.4674446891812965,0.21523550719583223
0.9835182616716551,-1.9283706988620137,0.4935616716293903,0.2741625036348741,3.044059183556708,0.5068631379613384,0.21897435840378746
1.0048717757524184,-1.989837596854581,0.5030676442392171,0.28279959897946527,3.002259915273495,0.49337744335449174,0.22382295766604302
0.988505397042028,-1.9788127202853136,0.493387941945885,0.28922568228361356,2.9908943427038,0.47816918100197986,0.23260513671440664
1.0032877357877492,-1.9141265017027083,0.4824451350561703,0.29682428362156155,3.0081202091692867,0.48923784031279693,0.21393787606564155
0.9631402555506205,-2.070291093035922,0.5093890096314453,0.29975530305501913,2.978604203226259,0.4771826706244105,0.22306202632057034
0.9791451987623881,-1.9886605039701624,0.48276501911956127,0.28967340874752756,2.982731245499842,0.49439629859016593,0.21593029266230657
1.0676196360914818,-1.948201279800795,0.49638653205732897,0.2907721811578624,3.0006480044194173,0.4760508766180026,0.23317694222413504
1.006314313363408,-1.9893701997792466,0.5000515324325632,0.3003613657905217,3.0143715737336474,0.4555423948450075,0.2440962393644707
0.9625685334387646,-1.9452539835449112,0.5103722919359681,0.30239849677672537,3.0053891055649897,0.4533239426682052,0.2442775605550694
0.9877036157287356,-1.9611799719320022,0.4964501670599907,0.2895133040358714,2.9395601599266246,0.5040196276553194,0.20646706830880918
0.9633448019728373,-1.954818403750374,0.4967076043567319,0.28566736002230236,2.9682380930633343,0.4749170464459809,0.23941559353171676
1.0077312411342518,-2.0090194434878184,0.49381526603606263,0.30581032093474125,3.0128748503389806,0.4959706324397824,0.19821904662547646
0.9973639543349212,-1.9856303109399185,0.4966528006068296,0.3063778466057186,3.0351391078971455,0.49452520637779623,0.19909694701648528
0.9763143951580311,-1.9864595826985654,0.49977435136327275,0.28650497217601906,3.0129988848380505,0.48184481759034764,0.23165021023363336
0.9700867179438901,-1.9973498205583449,0.5008923806542732,0.28391208648235317,2.9511200574833167,0.4896513632828726,0.22643655023477421
1.001748540959353,-1.905562976365565,0.4753304501964584,0.29150069251646404,3.0594775971504764,0.4850040122579766,0.22349529522555936
0.960864289541641,-1.8877200860447354,0.5278652367552623,0.29116455423238286,3.02512275865154,0.4811861233899438,0.22764932237767324
0.9583582929491538,-1.9796299633559462,0.4916559576338367,0.28876157198924146,2.9654459605871724,0.5024882221341035,0.20875020587665513
0.9521855215959502,-1.9775743878953738,0.4928587502414721,0.28978261543728134,3.00171291232946,0.5064954948697564,0.20372188969296223
1.0151427723424993,-1.958701995809969,0.5040810515107991,0.2864344160366852,2.949933198770697,0.5039434290695329,0.20962215489378183
1.0012296099038323,-1.9448161216128155,0.49466626988316414,0.2799945928738779,3.014830479978632,0.49141990754416964,0.2285854995819525
1.006619462160884,-1.971435179978945,0.4975525084813387,0.2885938436552854,2.998781628531854,0.4829108014190409,0.2284953549256738
0.9573603704758038,-1.9783479343800707,0.4948015404768323,0.3003204814046588,3.003063345186023,0.4826441201280499,0.21703539846729142
0.932885288971225,-1.9943014985709984,0.5040797744987409,0.28640557270861794,2.981961662341037,0.4880777964592262,0.2255166308321558
0.9824652956059702,-2.0233994380790223,0.48901172597536946,0.2810689083804299,2.9801484079385356,0.49213774906317936,0.22679334255639072
0.9698940049060457,-2.0435705439778853,0.4898215872233793,0.2916679121092163,2.956179007287045,0.49987862270601247,0.20845346518477126
0.987183647712887,-2.019798111448712,0.4796159857309755,0.28273116657681857,2.9992164935094494,0.49952924180335945,0.2177395916198219
1.0075033432363134,-1.991169204078812,0.5033613038480735,0.2897813023007986,2.988885711519509,0.49226050713295244,0.2179581905662488
1.0356373358394988,-1.9518342241801983,0.47872751627920984,0.29950721022391585,3.021191615791403,0.4849866630811095,0.21550612669497465
1.020929656160371,-1.9353699558956985,0.4902684869995804,0.3053599198988127,2.9708061319395163,0.47950752966889104,0.2151325504322963
1.014313818544718,-1.9619809650075046,0.4771332330684048,0.3068130771603689,2.99914991617075,0.4782700256880776,0.21491689715155352
0.9750448162019243,-1.9983564834763299,0.5035966871186632,0.31019024132977446,2.9517617455404346,0.4833036172562957,0.20650614141392976
0.957555098980718,-1.952253627878115,0.4919593754887449,0.2702678593085677,2.9916462217008153,0.48315456068426194,0.24657758000717034
